Year,Acura ILX,Acura Integra,Acura TL,Acura TLX,Acura TSX,Acura RL,Acura RLX,Acura RLX/RL,Acura NSX,Acura RDX,Acura MDX,Acura ZDX,Alfa Romeo 4C,Alfa Romeo GIULIA,Alfa Romeo Stelvio,Aston Martin Unclassified,Audi A3,Audi A4,Audi A4 Allroad quattro,Audi A5,Audi TT,Audi A6,Audi A7,Audi e-tron GT,Audi A8,Audi R8,Audi Q3,Audi Q4 e-tron,Audi Q5,Audi e-tron,Audi Q8,Bentley Unclassified,BMW i3,BMW 1 Series,BMW 1/2 Series,BMW 2 Series,BMW 3 Series,BMW 3/4 Series,BMW 4 Series,BMW Z4,BMW 6 Series,BMW 5 Series,BMW i4,BMW 7 Series,BMW 8 Series,BMW i7,BMW i8,BMW X1,BMW X2,BMW iX,BMW X3,BMW X4,BMW X7,BMW X5,BMW X6,Buick Cascada,Buick Verano,Buick LaCrosse,Buick Regal,Buick Lucerne,Buick Encore,Buick Encore GX,Buick Envision,Buick Enclave,Cadillac ATS,Cadillac ELR,Cadillac CT4,Cadillac CT5,Cadillac CT6,Cadillac CTS,Cadillac DTS,Cadillac STS,Cadillac XTS,Cadillac XT4,Cadillac Lyriq,Cadillac SRX,Cadillac XT5,Cadillac XT6,Cadillac Escalade,Chevrolet Spark,Chevrolet Aveo,Chevrolet Bolt,Chevrolet Sonic,Chevrolet Cruze,Chevrolet Volt,Chevrolet Camaro,Chevrolet Caprice,Chevrolet SS,Chevrolet Impala,Chevrolet Malibu,Chevrolet Corvette,Chevrolet Avalanche,Chevrolet Colorado,Chevrolet Silverado,Chevrolet Trax (Tracker),Chevrolet Bolt EUV,Chevrolet Captiva,Chevrolet Equinox,Chevrolet HHR,Chevrolet SUV-C Total,Chevrolet Trailblazer,Chevrolet Blazer,Chevrolet Traverse,Chevrolet C/K Suburban,Chevrolet Tahoe,Chevrolet Express,Chevrolet City Express,Chrysler 2-- Series,Chrysler 3-- series,Chrysler Pacifica,Chrysler Town & Country,Chrysler N/A (Class 5),Dodge Caliber,Dodge Dart,Dodge Avenger,Dodge Challenger,Dodge Charger,Dodge Viper,Dodge Caravan,Dodge Journey,Dodge Durango,Ferrari 296,Ferrari SF9- Spider,Ferrari SF9- Stradale,Ferrari Unclassified,Fiat 5--,Fiat 124 Spider,Fiat 5--L,Fiat 5--X,Ford Fiesta,Ford Focus,Ford Crown Victoria,Ford Fusion,Ford Mustang,Ford Taurus,Ford GT,Ford C-MAX,Ford F-Series,Ford Maverick,Ford Ranger,Ford EcoSport,Ford Bronco Sport,Ford Escape,Ford Bronco,Ford Edge,Ford Explorer,Ford Flex,Ford Mustang Mach-E,Ford Expedition,Ford E-Series,Ford Transit,Ford Transit Connect,GMC Canyon,GMC Sierra,GMC Hummer Pickup,GMC Pickup Truck Total,GMC Terrain,GMC Acadia,GMC Yukon,GMC Yukon XL,GMC Savana,Honda Fit (Jazz),Honda Civic,Honda CR-Z,Honda Insight,Honda Accord,Honda Clarity,Honda Clarity Electric,Honda Clarity Fuel Cell,Honda Clarity Plug In,Honda FCX Clarity,Honda S2---,Honda Odyssey,Honda Ridgeline,Honda HR-V,Honda Crosstour,Honda CR-V,Honda Honda Pilot,Honda Passport,Hyundai Accent (Verna),Hyundai Avante (Elantra),Hyundai Ioniq,Hyundai Veloster,Hyundai Azera,Hyundai Sonata,Hyundai Hyundai Genesis,Hyundai Equus,Hyundai Santa Cruz,Hyundai Kona,Hyundai Nexo,Hyundai Tucson (ix35),Hyundai Venue,Hyundai IONIQ 5,Hyundai Palisade,Hyundai Santa Fe,Hyundai Veracruz (ix55),Infiniti G,Infiniti Q4-,Infiniti Q5-,Infiniti Q6- (G Coupe),Infiniti M,Infiniti Q7- (M),Infiniti QX3-,Infiniti QX5- (EX),Infiniti QX55,Infiniti QX6- (JX),Infiniti QX7- (FX),Infiniti QX8- (QX56),Jaguar XE,Jaguar F-Type,Jaguar XF,Jaguar XJ Series,Jaguar E-Pace,Jaguar F-Pace,Jaguar I-Pace,Jeep Jeep Gladiator,Jeep Renegade,Jeep Cherokee,Jeep Cherokee Liberty,Jeep Compass,Jeep Patriot,Jeep Wrangler,Jeep Grand Cherokee,Kia Rio,Kia Forte,Kia Soul,Kia K5,Kia Optima,Kia Stinger,Kia Cadenza,Kia K9 (K9--/Quoris),Kia Sedona (Carnival),Kia NIRO,Kia SELTOS,Kia Sportage,Kia EV6,Kia Sorento (KX7),Kia Telluride,Lamborghini Unclassified,Lexus CT,Lexus IS,Lexus RC,Lexus ES,Lexus GS,Lexus HS,Lexus LC,Lexus LFA,Lexus LS,Lexus UX,Lexus NX,Lexus GX,Lexus LX,Lexus RX,Lincoln MKS,Lincoln MKZ,Lincoln Continental,Lincoln MKC/Corsair,Lincoln MKT,Lincoln MKX,Lincoln Nautilus,Lincoln Aviator,Lincoln Navigator,Lucid Air,Maserati Unclassified,Maserati Grecale,Mazda Demio (Mazda 2),Mazda Axela (Mazda 3),Mazda MX-5 (Miata),Mazda Atenza (Mazda 6),Mazda RX-8,Mazda Premacy (Mazda 5),Mazda CX-3,Mazda CX-3-,Mazda CX-5,Mazda MX-3-,Mazda Tribute,Mazda CX-5-,Mazda CX-7,Mazda CX-9,Mercedes-Benz A-Class,Mercedes-Benz CLA-Class,Mercedes-Benz C-Class,Mercedes-Benz SLC-Class (SLK-Class),Mercedes-Benz SLK-Class,Mercedes-Benz CLK-Class,Mercedes-Benz CLS-Class,Mercedes-Benz E-Class,Mercedes-Benz AMG-GT,Mercedes-Benz CL-Class,Mercedes-Benz EQE,Mercedes-Benz EQS,Mercedes-Benz S-Class,Mercedes-Benz SL-Class,Mercedes-Benz SLS-Class,Mercedes-Benz B-Class,Mercedes-Benz R-Class,Mercedes-Benz GLA-Class,Mercedes-Benz GLB,Mercedes-Benz GLC-Class (GLK-Class),Mercedes-Benz GLK-Class,Mercedes-Benz EQS SUV,Mercedes-Benz G-Class,Mercedes-Benz GL-Class,Mercedes-Benz GLE-Class (M-Class/ML-Class),Mercedes-Benz GLS-Class (GL-Class),Mercedes-Benz M-Class,Mercedes-Benz ML-Class,Mercedes-Benz Sprinter,Mercedes-Benz Unclassified Van,Mercedes-Benz EQB,MINI Cooper,MINI Clubman,MINI Convertible,MINI Coupe,MINI Roadster,MINI Countryman,MINI Paceman,Mitsubishi i-MiEV,Mitsubishi Mirage,Mitsubishi Lancer,Mitsubishi Eclipse,Mitsubishi Eclipse Spyder,Mitsubishi Galant,Mitsubishi Eclipse Cross,Mitsubishi RVR (ASX/Outlander Sport),Mitsubishi Outlander,Mitsubishi Endeavor,Nissan Cube,Nissan Leaf,Nissan Versa,Nissan Sentra,Nissan 37-Z,Nissan Altima,Nissan Nissan Z,Nissan GT-R,Nissan Maxima,Nissan Quest,Nissan Frontier (Navara),Nissan Titan,Nissan Juke,Nissan Ariya,Nissan Kicks,Nissan Rogue,Nissan Armada,Nissan Murano,Nissan Pathfinder,Nissan Xterra,Nissan NV,Nissan NV2--,Polestar 1,Polestar 2,Porsche Boxster/Cayman,Porsche Taycan,Porsche Panamera,Porsche Porsche 911,Porsche Porsche 918,Porsche Macan,Porsche Cayenne,Ram P/U,Ram ProMaster,Ram ProMaster City,Ram Ram Cargo Van,Rivian R1T,Rivian R1S,Rivian EDV,Scion iQ,Scion iA,Scion xD,Scion FR-S,Scion iM,Scion tC,Scion xB,smart fortwo,smart Unclassified,Subaru BRZ,Subaru Impreza,Subaru WRX,Subaru Legacy,Subaru Forester,Subaru XV,Subaru Ascent,Subaru Outback,Subaru Solterra,Subaru Tribeca,Suzuki Aerio (Liana)/SX4,Suzuki Kizashi,Suzuki Equator,Suzuki Escudo (Grand Vitara),Tesla Model 3,Tesla Model S,Tesla Model Y,Tesla Model X,Toyota Aqua (Prius C),Toyota Vitz (Yaris),Toyota Yaris iA,Toyota 86,Toyota Corolla,Toyota Corolla iM,Toyota Prius,Toyota Avalon,Toyota Camry,Toyota MIRAI,Toyota Supra,Toyota Prius v,Toyota Sienna,Toyota Tacoma,Toyota Tundra,Toyota C-HR,Toyota Corolla Cross,Toyota FJ Cruiser,Toyota 4Runner,Toyota bZ4X,Toyota Highlander,Toyota RAV4,Toyota Venza,Toyota Land Cruiser,Toyota Sequoia,Volvo C3-,Volvo C7-,Volvo S6-,Volvo V6-,Volvo S8-,Volvo S9-,Volvo V9-,Volvo XC7-,Volvo C4- Recharge,Volvo XC4-,Volvo XC6-,Volvo XC9-,VW Beetle,VW Eos,VW Golf,VW Golf GTI,VW Golf R,VW Golf SportWagen,VW Jetta,VW Arteon,VW Passat (Santana),VW Passat CC,VW Routan,VW ID.4,VW Taos,VW Tiguan,VW Atlas,VW Touareg
Year 2013,20430,0,24318,0,17484,0,0,5053,0,44750,53040,361,0,0,0,0,857,36744,5386,18664,2053,22428,8483,0,6300,813,0,0,40355,0,0,0,0,7220,0,0,0,119521,0,2480,9762,56863,0,10932,0,0,0,26512,0,0,30623,0,0,39818,5549,0,45527,48798,18685,9,31956,0,0,60534,38319,6,0,0,0,32343,19,7,32559,0,0,56776,0,0,22514,34130,2,0,85646,248224,23094,80567,3899,418,156797,200594,17291,16526,3412,480414,0,0,47600,238192,3,285795,0,0,96467,51260,83502,79087,0,122480,57724,0,122288,10901,45,83388,93842,51462,98336,591,124019,83933,60727,0,0,0,0,35834,0,7402,0,71073,234570,10897,295280,77186,69063,0,35210,763402,0,0,0,0,295993,0,129109,192397,25953,0,38350,125356,0,39703,929,184389,0,185318,99525,89793,28302,31258,16705,53513,336180,4550,4802,366678,0,0,0,0,10,2,128987,17723,0,16847,303904,126678,0,60458,247912,0,30711,11221,203648,32330,3578,0,0,0,41906,0,0,0,88844,175,30256,0,17816,9806,5283,0,0,2164,0,31602,6380,13148,0,2250,7922,5434,0,0,0,0,0,25786,6101,52993,75797,155502,174275,40742,66146,118079,0,155893,0,8626,0,7079,0,0,32965,0,105649,0,0,15071,35017,0,72581,19742,5,0,23,10727,0,0,12136,4625,103920,10793,32361,0,0,6014,23913,0,0,8613,0,0,0,11757,104713,5780,43638,1,13884,0,0,79544,0,2,0,0,24628,0,14113,88251,0,4757,0,8032,69803,0,476,0,0,13303,7007,451,20,30,0,0,0,32553,0,2494,29912,0,0,41315,11,21816,0,0,26954,5155,4460,2540,2806,21325,3262,1029,2935,19451,40,69,1441,0,24951,12287,24,5461,22610,117352,129143,6561,320723,0,1236,53896,12874,62837,15691,38157,0,0,162751,14383,44684,88632,17766,12589,4619,0,0,7953,0,5421,10442,0,0,18507,355673,3270,0,8900,0,0,0,4046,0,9005,18327,0,19094,17849,923,8341,8587,58856,17969,42291,123592,53741,0,118049,0,1598,2859,1602,448,1037,0,18650,0,0,41979,21342,0,0,302180,0,157260,70990,408484,0,0,34989,121117,159485,112732,0,0,13131,51625,0,127572,218249,35846,3082,13811,1361,3234,23210,0,1935,0,0,4882,0,0,19766,6845,43134,4178,16023,13310,1598,0,163793,0,109652,15672,2109,0,0,30002,0,8233
Year 2014,17854,0,10616,19127,6287,0,3413,0,0,44865,65603,78,91,0,0,0,22250,33993,4686,16620,1158,23941,8133,0,5904,735,3654,0,42420,0,0,0,6092,0,7345,0,0,142232,0,2151,8647,52704,0,9744,0,0,555,22808,0,0,33824,2709,0,47031,3896,0,43743,51468,22560,0,48892,0,0,62300,29890,1310,0,0,0,31115,0,0,24335,0,0,53578,0,0,30522,39159,0,0,93518,273060,18805,86297,3727,2479,140280,188519,34839,92,8003,529755,739,0,35368,242242,0,277610,0,0,103943,55009,97726,79352,530,117363,53382,0,138040,14401,0,83858,51705,51611,94099,760,134152,93572,64398,0,0,0,0,33708,0,12413,0,63192,219634,10234,306860,82635,52395,0,27595,753851,0,0,0,0,306212,0,108864,209994,23822,0,44632,103263,20448,43210,3070,211833,0,214903,105016,83972,41569,29752,26641,59340,325981,3562,3965,388374,0,0,0,0,2,0,122738,13389,0,11802,335019,108857,0,63309,222023,0,27598,7232,216936,29992,3415,0,0,0,47306,0,0,0,107906,1,0,15590,36899,7740,0,5034,0,2727,0,31192,5213,12935,0,4112,5880,4329,0,0,0,0,0,178508,0,61264,93462,175328,183786,35933,69336,145316,0,159020,0,9267,1330,14567,0,0,42945,0,102520,0,0,17673,51358,1922,72508,22198,0,0,17,8559,0,2927,22685,4052,107490,8160,34009,0,13077,4800,23995,0,0,10433,0,0,0,13615,104985,4745,53224,1,11613,0,0,99122,0,0,0,0,18496,0,27365,75065,0,4737,3,6981,66400,0,221,0,0,25276,5030,232,776,8,6884,0,0,35000,0,3090,26597,0,0,46706,20,25745,0,0,22843,2613,3536,956,1437,22645,2082,196,16708,16495,0,0,122,0,31054,13068,0,3785,30200,139781,183268,7199,335644,0,1436,50401,9833,74323,12527,38184,0,0,199199,12593,47301,79111,16505,14890,13385,0,0,7292,0,5740,10433,96,7241,16205,439789,18039,0,11311,0,0,0,2040,0,7377,14062,0,17947,16583,2594,7859,7504,57996,25492,52270,159953,70956,0,138790,0,732,0,0,0,0,0,16550,0,0,40570,13274,0,0,339498,0,136040,67183,428606,0,0,30762,124502,155041,118493,0,0,14718,76906,0,146127,267698,29991,3158,11806,66,779,20457,4990,1753,0,0,5093,0,0,19276,3952,29182,3411,16298,17362,15,0,160873,0,96649,9995,1103,0,0,25121,0,6961
Year 2015,18531,0,88,47080,35,0,2195,0,0,51026,58208,2,663,0,0,1020,35984,29013,2818,12934,1167,22850,7721,0,4990,495,13229,0,52006,0,0,2686,11024,0,13020,0,94527,0,46082,1829,8146,44162,0,9292,0,0,2265,14420,0,0,31924,6429,0,54997,7906,0,31886,42035,19504,0,67549,0,0,62081,26873,1024,0,0,0,19485,0,0,23112,0,0,68850,0,0,35921,32853,0,0,64775,226602,15393,77502,1845,2895,116825,194854,33329,0,84430,600544,63030,0,55,277589,0,277644,0,0,119945,50866,88342,63382,10283,177889,53109,0,93848,15812,0,87392,1268,66365,94725,676,97141,105400,64186,0,0,0,2258,25084,0,7863,9463,64458,202478,9765,300170,122349,39051,0,21768,780354,0,0,0,0,306492,0,124120,249251,19570,0,41443,50788,117577,52221,30077,224139,0,254216,112030,96393,42732,31334,21992,52724,335384,3073,1458,355557,0,0,0,0,2,0,127736,520,41969,9104,345647,136212,0,61486,241706,0,24245,5539,213303,31374,2332,0,0,0,63591,0,0,0,118134,0,0,8605,43874,3949,0,8449,0,5468,0,41770,5737,15646,0,4629,5933,3611,0,0,0,0,60946,220260,0,66698,118464,202702,195958,23742,78919,147133,0,159414,0,7343,2524,36755,0,0,53739,0,116249,0,1009,14657,46430,14784,64969,23117,0,0,9,7165,0,43764,25212,3884,100610,6877,30901,0,24590,4696,22199,0,0,11964,0,11700,0,297,107885,8591,57897,0,8609,6406,0,111450,0,0,0,0,18048,0,29643,86080,0,4182,0,6152,49736,1277,54,0,0,21934,4060,29,1906,4,25593,0,4569,23333,0,3616,27707,20663,0,32540,10,0,29889,0,34967,492,3098,460,1103,16686,1708,115,21515,17691,0,0,0,0,36966,19055,0,943,17269,144528,203509,7391,333398,0,1105,40359,11018,62817,12140,27121,0,0,287190,12737,62907,82041,10672,16958,17317,0,0,6663,0,4986,9898,203,13533,16473,451116,28345,11124,3222,0,0,0,482,7605,794,10507,5097,16459,15223,1387,6097,5296,66785,33734,60447,175192,88927,0,152294,0,0,0,0,0,0,0,26400,0,208,38484,16779,0,0,363332,0,118020,60063,429355,72,0,28290,137497,179562,118880,0,0,229,97034,0,158915,315412,21351,2687,12583,0,7,16993,7131,1887,0,0,5118,0,0,26134,12777,22667,2993,23489,23669,4141,14009,131109,0,78207,6276,0,0,0,35843,0,7037
Year 2016,14597,0,0,37156,4,0,1478,0,269,52361,55495,0,480,36,0,1032,31538,34687,2300,8354,3044,18686,6558,0,4149,736,20048,0,49550,0,0,2581,7625,0,0,15519,70458,0,35763,1187,3947,32408,0,12918,0,0,1594,27812,0,0,44196,4989,0,47641,7117,7153,30277,27582,19833,0,78565,0,14193,52028,21505,534,0,0,9169,15911,0,0,22171,0,0,22139,39485,0,39092,35511,0,579,55255,188876,24739,72705,1021,3013,97006,227881,29995,0,108725,574876,79016,0,0,242195,0,242195,0,0,116701,60082,103306,68007,7019,57294,53241,62366,59071,15737,0,43402,45,64433,95437,630,127678,106759,68474,0,0,0,2398,15437,2475,3118,11712,48807,168789,9472,265840,105932,34626,0,19834,820799,0,0,0,0,307069,0,134588,248507,22668,0,59835,54245,143244,43232,37449,221680,0,259129,87925,88466,53447,37054,20607,56630,366927,2338,67,345225,0,0,8,0,0,0,120846,23667,82041,726,357335,120772,0,79766,208319,0,30053,4942,199416,23230,1361,0,0,0,89713,0,0,0,131257,0,0,59,44007,3970,0,5872,2259,16973,0,42120,6261,16772,6656,4069,6665,3834,0,10016,0,0,106606,199736,0,94061,121926,191774,212273,28700,103292,145768,0,124203,0,4738,834,44264,0,0,81066,0,114733,0,1041,8903,37289,11165,58299,14878,0,0,6,5514,0,54884,25148,5707,109435,4951,30534,5261,25562,4028,30967,0,0,10421,0,12534,0,3,95567,9465,45520,0,375,18557,0,112235,0,0,0,0,16051,0,25792,77167,3397,0,0,4156,46740,1227,0,0,0,18803,3722,1,632,0,24545,0,47872,0,0,3950,0,51790,30442,0,1,0,34304,0,22438,12204,4584,8,5,12706,85,94,22226,14304,0,0,0,0,33067,26576,0,15,14006,132214,214709,5913,307380,0,698,62670,11115,86926,21880,19577,0,0,329904,14035,86953,81701,38,17873,18523,0,0,6260,0,4403,8901,0,19332,15383,489418,40440,15972,21,0,0,0,6,0,9,0,0,9336,2677,657,5554,4141,55238,33279,65306,178593,95677,0,182898,0,0,0,0,0,0,0,29156,0,18028,20452,10872,27983,7457,360483,17727,101340,48080,388618,1034,0,14840,127791,191631,115489,0,0,9,111970,0,191379,352154,589,3705,12771,0,0,14789,6132,644,2756,0,5425,0,0,20452,32526,15667,387,17701,23934,4493,15559,121107,0,73002,3237,0,0,0,43638,0,4223
Year 2017,11757,0,0,34846,0,0,1237,0,581,51295,54886,0,407,8903,2721,684,23610,34434,3240,21301,2294,16304,4810,0,3127,772,20633,0,57640,0,0,2405,6276,0,0,11737,59449,0,39634,502,3355,40658,0,9276,0,0,488,30826,0,0,40691,5198,0,50815,6780,5595,4277,20161,11559,0,88035,0,41040,48564,13100,17,0,0,10542,10344,0,0,16275,0,0,156,68312,0,37694,22589,0,23297,30290,184751,20349,67940,693,4055,75877,185857,25079,0,112996,585864,79289,0,0,290458,0,290458,0,0,123506,56516,98961,69164,8348,18457,51237,118274,577,17203,0,10082,14,64537,88351,585,125196,89470,68761,0,0,0,2517,12685,4478,1664,7665,46249,158385,7994,209623,81866,33242,89,18390,896764,0,0,0,0,308296,0,142603,271131,22389,0,51883,53304,127360,34473,32106,217943,0,250049,85441,111276,49183,35059,29679,49454,377286,705,3,322655,0,1121,432,903,0,0,100307,34749,94034,5,377895,127279,0,58955,198210,11197,12658,3060,131803,1152,20,0,0,0,114735,0,0,0,133171,0,0,0,40739,10751,0,5772,14093,16857,0,40444,6878,17881,9278,4108,4541,2721,0,18946,0,0,103434,169882,0,83253,40735,190522,240696,16760,117596,115712,0,107493,843,7249,455,23815,27237,0,72824,0,99684,0,1095,4690,26482,7363,51398,7773,0,2487,3,4094,0,59341,27190,6004,108307,153,27387,12012,27048,3005,31031,0,0,10523,0,13711,0,0,75018,11294,33402,0,10,16355,0,127563,0,0,0,0,25828,0,20669,77447,2860,0,0,1839,49473,1608,0,0,0,15888,2940,0,744,0,24104,0,48643,0,0,4188,0,54595,32248,0,0,0,34994,0,18981,7739,5512,0,0,14864,9,6,22386,12725,0,0,0,0,33160,35409,0,0,11230,106772,218451,4614,254996,0,578,67627,4950,74360,52924,10157,0,0,403465,35667,76732,81065,1,17858,18602,0,0,5087,0,6731,8970,0,21429,13203,500723,40483,15584,0,0,0,0,0,0,2,0,0,203,0,544,2527,4131,86043,31358,49837,177563,110138,0,188886,0,0,0,0,0,0,1770,26500,0,21700,12415,8653,35727,6846,308695,20501,86567,32583,387081,1838,0,9680,111489,198124,116285,25755,0,4,128296,0,215775,407594,14,3100,12156,0,0,12454,4369,6,8640,2449,74,0,0,22516,30996,15166,1,17086,22486,2706,26700,115807,0,60722,1355,0,0,0,46983,27119,3545
Year 2018,11273,0,0,30468,0,0,1931,0,170,63580,51512,0,238,11519,12043,984,18305,34566,N/A,25972,1289,10561,3852,0,1599,927,16828,0,69978,0,2029,2395,6117,0,0,9208,44578,0,31379,4,3762,43937,0,8271,223,0,772,29060,16154,0,61351,4323,0,45013,6862,4136,210,15527,14118,0,93073,0,30152,49647,10859,2,0,0,9668,11219,0,0,17727,7785,0,5,60565,0,36872,23602,0,18019,20613,142617,18306,50963,75,55,56556,144542,18791,0,134842,585581,89916,0,0,332618,0,332618,0,0,146534,60633,104153,81239,3531,1043,46593,118322,6,15934,0,389,4,66716,80226,19,151927,94096,65947,0,0,0,2488,5370,3515,1413,5223,51730,113345,N/A,173600,75842,36088,126,6683,909330,0,0,54348,0,272228,0,134122,261571,20308,0,54661,47936,137794,31923,33492,219554,0,253046,114314,88621,46190,34594,19684,35300,325760,38,12510,291071,0,948,624,18602,0,0,106327,30592,85494,0,379013,159615,0,29090,200415,15076,10871,628,105118,1,0,0,47090,8,142299,0,0,0,117038,0,0,0,34763,9017,0,4479,8101,25389,0,47370,954,19207,4704,2268,2308,1579,4479,14752,393,0,97062,239437,0,171167,621,240032,224908,22975,101890,104709,0,101603,16806,4507,354,17928,28232,0,82823,0,107846,0,1595,4,22927,3358,48484,6604,0,1979,2,9302,453,62079,26724,4753,111641,0,19852,8758,26241,2324,25966,2607,0,17839,0,11402,0,0,64638,8971,30938,0,0,16899,0,150622,0,0,0,0,28257,0,22556,60409,1993,0,0,899,45525,1525,0,0,0,14978,2126,0,135,0,24136,0,69727,0,0,3970,0,46010,21972,0,0,0,38178,0,16400,4385,5334,0,0,17565,0,0,24316,3302,0,0,0,9485,39153,41818,0,0,14715,75809,213046,3468,209146,0,538,42337,3,79646,50459,731,0,23312,412110,32650,83547,67550,0,16902,18628,0,0,5276,0,8042,9647,0,23504,10733,536980,46600,13788,0,0,0,0,0,0,0,0,0,2,3,1118,158,3834,76400,28730,40109,171613,144384,36211,178854,0,0,0,0,0,0,138867,25200,0,23900,8399,2094,25116,4146,280886,22846,77129,33581,343439,1700,0,2062,87672,245659,118258,49642,0,3,139694,0,244511,427170,9,3222,11121,0,0,7583,4293,0,6967,2695,0,0,12427,32689,31609,14411,N/A,7996,16684,3468,14123,90805,0,41401,455,0,0,0,103022,59677,2022
Year 2019,14685,0,0,26548,0,0,1019,0,238,62876,52019,0,144,8704,9444,1164,10418,26435,0,23023,1324,17807,4955,0,2963,574,14822,0,67516,5369,14256,1882,4854,0,0,8015,47827,0,18621,2941,1139,38709,0,8823,4410,0,1102,17815,11293,0,70110,8758,21574,54595,4240,2535,3,7241,10363,0,102402,0,33229,51156,1134,0,0,43,7951,6965,0,0,11304,31987,0,0,49879,11559,35424,31281,0,16418,13971,47975,4910,48265,7,2,44978,131917,17988,0,122304,570639,116816,0,0,346048,0,346048,0,58115,147122,51928,101189,77457,139,48,29213,97705,5,16467,0,15,1,60997,96935,5,122648,74686,67599,0,0,0,2587,3267,2644,771,2518,60148,12480,N/A,166045,72489,13351,229,38,896526,0,89571,64708,0,241388,0,138515,187061,24484,0,86422,45063,153868,41598,32825,232323,0,265148,101470,99429,42510,32163,24226,35414,325650,2,23686,267567,0,576,320,10758,0,0,99113,33334,99104,0,384168,135008,36085,25628,175094,19574,12849,0,87466,0,0,0,73326,267,137381,1077,0,28736,127373,0,0,0,25987,5043,0,2552,3229,18616,0,43162,6,19113,3551,2279,1187,1167,4782,15491,2594,40037,76885,191397,0,143934,27,228042,242969,24961,95609,98033,0,96623,13861,1630,390,15931,24467,0,89278,0,95951,58604,2716,0,14920,4591,51336,3378,0,1219,3,5528,16725,58715,25945,4718,111036,0,17725,6586,25815,3388,6059,25652,8323,18656,0,8150,0,0,50741,7753,21524,0,0,16229,899,154545,0,0,0,0,26861,17641,12400,49153,1840,0,0,2385,37728,4208,0,0,0,12528,1690,0,8,0,22137,1173,73650,0,0,7348,0,49980,22225,0,0,0,41635,0,14527,3565,4031,0,0,13969,0,0,26966,0,0,0,0,19661,33644,40775,0,0,12365,66596,184618,2384,209183,0,331,35076,0,72369,31514,11,0,58193,350447,32044,68361,65691,0,20022,18768,0,0,3880,0,6625,9265,0,22667,19131,633694,56409,12920,0,0,0,0,0,0,0,0,0,0,1,583,97,2334,66415,21838,35063,180179,131152,81958,181178,0,0,0,0,0,0,146450,14000,0,18500,1276,2186,19730,3398,280808,24042,68433,27767,336978,1502,2884,9,73585,248801,111673,48930,0,1,131888,0,239438,448071,9,3536,10289,0,0,17526,2664,0,2545,1507,0,0,17654,30578,35760,17215,0,10507,11672,4223,10991,100453,2449,14123,58,0,0,0,109963,81508,160
Year 2020,13414,0,0,21785,0,0,1055,0,128,52785,47816,0,99,8216,10271,1632,9937,18341,0,18828,830,10535,2859,0,2376,581,27251,0,50435,7202,12074,1553,1703,0,0,14618,41249,0,9495,2371,199,26785,0,6443,7737,0,188,14405,7387,0,59941,7677,20579,50642,7313,12,0,230,2484,0,41752,44841,34942,38480,116,0,4889,14711,3117,611,0,0,1199,22473,0,0,35223,22609,24547,33478,0,20754,13007,784,71,29775,0,0,9942,102651,21626,0,96238,586675,106299,0,0,270994,0,305284,34290,94601,125546,37636,88238,55131,0,9,16653,93802,0,15795,0,7,0,52955,77425,4,38767,40342,57828,0,0,8,2020,672,1729,474,1428,3354,0,N/A,110665,61090,0,175,0,787422,0,101486,60545,5120,178496,0,108886,226217,4848,3,77838,37001,131556,34596,25190,253016,0,278206,86020,72537,40965,22475,15108,32488,261225,1,15932,199458,0,45,230,3940,0,0,83409,32168,84027,0,333502,123813,39567,15975,105475,13570,7591,0,76997,0,0,0,76253,208,123657,19125,0,81905,101513,0,0,0,16533,2792,0,139,148,20885,0,22880,0,16125,1516,1595,606,908,3412,8281,1658,77542,62847,135855,0,107969,3,201311,209786,23927,84997,71862,31656,48484,12556,1265,305,13190,17434,46280,84343,0,74677,75129,2263,0,13600,3808,43292,2560,0,1325,3,3617,16962,55784,28519,4512,101059,0,12518,5262,26227,329,0,22742,23080,15252,0,5214,0,0,33608,8807,16204,0,0,8335,38064,146420,0,0,0,0,27638,15331,10997,26294,2122,0,0,2980,24122,3489,0,0,0,8589,1782,2,1,0,25345,23183,52627,0,0,7723,0,48157,22172,0,0,0,50999,0,12455,2513,3883,0,0,9287,0,0,19136,0,0,0,0,10319,28836,29096,0,0,9564,48273,94646,1954,137988,0,304,18062,0,36845,26439,0,0,58858,227935,19640,58255,48579,0,15247,17126,0,0,3447,4414,3870,8840,0,18631,18092,563676,50556,10409,1,0,0,0,0,0,0,0,0,0,0,0,0,2267,43628,21178,27240,176996,119716,67623,153294,0,0,0,0,0,0,118600,10500,68900,7600,13,3983,2454,2476,217712,19466,43512,18421,294348,499,5887,0,42885,238806,109203,42936,0,0,129052,0,212276,430387,13073,3147,7364,0,0,11946,4882,0,1896,1298,0,0,23778,32078,34251,2481,0,25858,0,0,0,82663,3602,22964,96,0,0,0,100705,87361,54
